15,,,,,,
1,1,1,1,0.000000 ,0.000000 ,0.000000 
2,0,1,1,0.000000 ,0.000000 ,0.000000 
3,0,1,1,0.000000 ,0.000000 ,0.000000 
4,1,0,1,0.000000 ,0.000000 ,0.000000 
5,0,0,1,0.000000 ,0.000000 ,0.000000 
6,0,0,1,0.000000 ,0.000000 ,0.000000 
7,1,0,1,0.000000 ,0.000000 ,0.000000 
8,0,0,1,0.000000 ,0.000000 ,0.000000 
9,0,0,1,0.000000 ,0.000000 ,0.000000 
10,1,1,0,0.000000 ,0.000000 ,0.000000 
11,0,1,0,0.000000 ,0.000000 ,0.000000 
12,0,1,0,0.000000 ,0.000000 ,0.000000 
13,1,0,0,0.000000 ,0.000000 ,0.000000 
16,1,0,0,0.000000 ,0.000000 ,0.000000 
19,1,1,1,0.000000 ,0.000000 ,0.000001 